2018-1-20 15:48:58:594			
2018-1-20 15:48:58:594			开始运行
2018-1-20 15:49:0:707			成功建立数据库连接
2018-1-20 15:49:0:707			开始加载数据库blockdetail信息
2018-1-20 15:49:1:899			完成加载数据库blockdetail信息
2018-1-20 15:49:1:899			开始根据featureid加载对象并提取对象状态
2018-1-20 15:49:6:915			本次需从LayerId: 1 中加载, 542 条要素
2018-1-20 15:49:6:915			本次共从LayerId: 1 中加载, 520 条存在要素
2018-1-20 15:49:6:915			本次共从LayerId: 1 中加载, 0 条删除要素
2018-1-20 15:49:7:829			本次需从LayerId: 24 中加载, 932 条要素
2018-1-20 15:49:7:829			本次共从LayerId: 24 中加载, 906 条存在要素
2018-1-20 15:49:7:830			本次共从LayerId: 24 中加载, 0 条删除要素
2018-1-20 15:49:7:831			blockid: 1720 开始运行
2018-1-20 15:49:7:831			blockid: 1720 存在逻辑错误1,200000000026879
2018-1-20 15:49:7:831			blockid: 1721 开始运行
2018-1-20 15:49:7:831			blockid: 1721 存在逻辑错误1,200000000026887
2018-1-20 15:49:7:831			blockid: 1722 开始运行
2018-1-20 15:49:7:831			blockid: 1722 存在逻辑错误1,200000000026897
2018-1-20 15:49:7:831			blockid: 1723 开始运行
2018-1-20 15:49:7:831			blockid: 1723 存在逻辑错误1,200000000026910
2018-1-20 15:49:7:831			blockid: 1724 开始运行
2018-1-20 15:49:7:831			blockid: 1724 存在逻辑错误1,200000000030661
2018-1-20 15:49:7:832			blockid: 1725 开始运行
2018-1-20 15:49:7:832			blockid: 1725 存在逻辑错误1,200000000034839
2018-1-20 15:49:7:832			blockid: 1726 开始运行
2018-1-20 15:49:7:832			blockid: 1726 存在逻辑错误1,200000000035474
2018-1-20 15:49:7:832			blockid: 1727 开始运行
2018-1-20 15:49:7:832			blockid: 1727 存在逻辑错误1,200000000035475
2018-1-20 15:49:7:832			blockid: 1728 开始运行
2018-1-20 15:49:7:832			blockid: 1728 存在逻辑错误1,200000000035476
2018-1-20 15:49:7:832			blockid: 1728 存在逻辑错误1,200000000035479
2018-1-20 15:49:7:832			blockid: 1729 开始运行
2018-1-20 15:49:7:832			blockid: 1729 存在逻辑错误1,200000000035477
2018-1-20 15:49:7:832			blockid: 1730 开始运行
2018-1-20 15:49:7:832			blockid: 1730 存在逻辑错误1,200000000035478
2018-1-20 15:49:7:832			blockid: 1731 开始运行
2018-1-20 15:49:7:832			blockid: 1731 存在逻辑错误1,200000000035480
2018-1-20 15:49:7:832			blockid: 1732 开始运行
2018-1-20 15:49:7:832			blockid: 1732 存在逻辑错误1,200000000035481
2018-1-20 15:49:7:832			blockid: 1733 开始运行
2018-1-20 15:49:7:832			blockid: 1733 存在逻辑错误1,200000000035482
2018-1-20 15:49:7:832			blockid: 1734 开始运行
2018-1-20 15:49:7:832			blockid: 1734 存在逻辑错误1,200000000035585
2018-1-20 15:49:7:832			blockid: 1735 开始运行
2018-1-20 15:49:7:832			blockid: 1735 存在逻辑错误1,200000000035589
2018-1-20 15:49:7:832			blockid: 1736 开始运行
2018-1-20 15:49:7:832			blockid: 1736 存在逻辑错误1,200000000035604
2018-1-20 15:49:7:832			blockid: 1737 开始运行
2018-1-20 15:49:7:832			blockid: 1737 存在逻辑错误1,200000000035605
2018-1-20 15:49:7:832			blockid: 1738 开始运行
2018-1-20 15:49:7:832			blockid: 1738 存在逻辑错误1,200000000035606
2018-1-20 15:49:7:832			blockid: 1739 开始运行
2018-1-20 15:49:7:832			blockid: 1739 存在逻辑错误1,200000000035607
2018-1-20 15:49:7:832			blockid: 1740 开始运行
2018-1-20 15:49:7:832			blockid: 1740 存在逻辑错误1,200000000035608
2018-1-20 15:49:7:832			blockid: 1741 开始运行
2018-1-20 15:49:7:832			blockid: 1741 存在逻辑错误1,200000000035609
2018-1-20 15:49:7:832			blockid: 1742 开始运行
2018-1-20 15:49:7:832			blockid: 1742 存在逻辑错误1,200000000035610
2018-1-20 15:49:7:832			blockid: 1742 存在逻辑错误1,200000000035627
2018-1-20 15:49:7:832			blockid: 1743 开始运行
2018-1-20 15:49:7:832			blockid: 1743 存在逻辑错误1,200000000035611
2018-1-20 15:49:7:832			blockid: 1743 存在逻辑错误1,200000000035625
2018-1-20 15:49:7:832			blockid: 1744 开始运行
2018-1-20 15:49:7:832			blockid: 1744 存在逻辑错误1,200000000035612
2018-1-20 15:49:7:832			blockid: 1745 开始运行
2018-1-20 15:49:7:832			blockid: 1745 存在逻辑错误1,200000000035613
2018-1-20 15:49:7:832			blockid: 1745 存在逻辑错误1,200000000035617
